,name
Abby,2
Ace,1
Acro,1
Adele,1
Aiden,1
Aja,1
Akumi,1
Al,1
Albert,2
Albus,2
Aldrick,1
Alejandro,1
Alexander,1
Alexanderson,1
Alf,1
Alfie,5
Alfy,1
Alice,2
Amber,1
Ambrose,1
Amy,1
Amélie,1
Anakin,2
Andru,1
Andy,1
Angel,1
Anna,1
Anthony,1
Antony,1
Apollo,1
Aqua,1
Archie,4
Arlen,1
Arlo,1
Arnie,3
Arnold,1
Arya,1
Ash,2
Asher,1
Ashleigh,1
Aspen,2
Astrid,2
Atlas,2
Atticus,2
Aubie,1
Augie,1
Autumn,1
Ava,2
Axel,2
Bailey,7
Baloo,2
Balto,2
Banditt,1
Banjo,1
Barclay,1
Barney,1
Baron,1
Barry,1
Batdog,1
Bauer,1
Baxter,2
Bayley,1
BeBe,1
Bear,4
Beau,4
Beckham,1
Beebop,1
Beemo,1
Bell,2
Bella,6
Belle,2
Ben,1
Benedict,2
Benji,2
Benny,1
Bentley,5
Berb,1
Berkeley,1
Bernie,2
Bert,1
Bertson,1
Betty,2
Beya,1
Biden,1
Bilbo,1
Billl,1
Billy,1
Binky,1
Birf,1
Bisquick,2
Blakely,1
Blanket,1
Blipson,1
Blitz,2
Bloo,1
Bloop,1
Blu,1
Blue,1
Bluebert,1
Bo,9
Bob,2
Bobb,1
Bobbay,1
Bobble,1
Bobby,1
Bode,1
Bodie,1
Bonaparte,1
Bones,1
Bookstore,1
Boomer,4
Boots,1
Boston,1
Bowie,1
Brad,2
Bradlay,1
Bradley,1
Brady,1
Brandi,1
Brandonald,1
Brandy,1
Brat,1
Brian,1
Brockly,1
Brody,4
Bronte,1
Brooks,1
Brownie,1
Bruce,4
Brudge,1
Bruiser,1
Bruno,1
Brutus,1
Bubba,1
Bubbles,2
Buckley,1
Buddah,1
Buddy,7
Bungalo,2
Burt,1
Butter,2
Butters,1
Cal,1
Calbert,2
Cali,2
Callie,1
Calvin,3
Canela,2
Cannon,1
Carbon,1
Carl,4
Carll,1
Carly,2
Carper,1
Carter,1
Caryl,1
Cash,2
Cassie,4
CeCe,2
Cecil,1
Cedrick,1
Cermet,1
Chadrick,1
Champ,1
Charl,1
Charles,2
Charleson,1
Charlie,12
Chase,1
Chaz,1
Cheesy,1
Chef,1
Chelsea,2
Cheryl,1
Chesney,1
Chester,5
Chesterson,1
Chet,2
Chevy,1
Chip,4
Chipson,2
Chloe,1
Chompsky,2
Christoper,1
Chubbs,1
Chuck,1
Chuckles,2
Chuq,1
Churlie,2
Cilantro,1
Clarence,4
Clark,4
Clarkus,1
Clarq,1
Claude,1
Cleopatricia,1
Clifford,1
Clybe,1
Clyde,1
Coco,3
Cody,2
Colby,3
Coleman,1
Colin,1
Combo,1
Comet,1
Cooper,11
Coops,2
Coopson,1
Cora,1
Corey,1
Covach,1
Craig,1
Crawford,1
Creg,1
Crimson,1
Crouton,1
Crumpet,1
Crystal,2
Cuddles,1
Cupcake,2
Cupid,1
Curtis,2
Daisy,7
Dakota,2
Dale,1
Dallas,1
Damon,1
Daniel,1
Danny,1
Dante,1
Darby,1
Darla,1
Darrel,1
Dash,2
Dave,6
Davey,2
Dawn,2
DayZ,1
Deacon,1
Derby,1
Derek,4
Devón,1
Dewey,1
Dex,1
Dexter,4
Dido,1
Dietrich,1
Diogi,1
Divine,1
Dixie,1
Django,2
Dobby,1
Doc,2
DonDon,1
Donny,1
Doobert,1
Dook,1
Dot,1
Dotsy,1
Doug,3
Duchess,1
Duddles,1
Dudley,1
Dug,1
Duke,4
Dunkin,1
Durg,1
Dutch,1
Dwight,1
Dylan,1
Earl,3
Eazy,1
Ebby,1
Ed,1
Edd,1
Edgar,1
Edmund,1
Eevee,1
Einstein,1
Eleanor,1
Eli,2
Ellie,3
Elliot,2
Emanuel,1
Ember,1
Emma,1
Emmie,1
Emmy,2
Enchilada,1
Erik,1
Eriq,1
Ester,1
Eugene,1
Eve,2
Evy,1
Fabio,1
Farfle,1
Ferg,1
Fido,1
Fiji,1
Fillup,1
Filup,1
Finley,2
Finn,5
Finnegus,1
Fiona,2
Fizz,2
Flash,1
Fletcher,1
Florence,1
Flurpson,1
Flávio,2
Frank,2
Frankie,3
Franklin,2
Franq,1
Fred,2
Freddery,1
Frönq,1
Furzey,1
Fwed,1
Fynn,1
Gabby,1
Gabe,2
Gary,4
General,1
Genevieve,1
Geno,1
Geoff,1
George,5
Georgie,1
Gerald,4
Gerbald,1
Gert,1
Gidget,2
Gilbert,1
Gin,1
Ginger,1
Gizmo,3
Glacier,1
Glenn,1
Godi,1
Godzilla,1
Goliath,1
Goose,1
Gordon,1
Grady,1
Grey,1
Griffin,2
Griswold,1
Grizz,1
Grizzie,1
Grizzwald,1
Gromit,2
Gunner,1
Gus,5
Gustaf,1
Gustav,1
Gòrdón,1
Hall,1
Halo,1
Hammond,2
Hamrick,1
Hank,4
Hanz,1
Happy,2
